,,,,,,,,Assembled dimensions,,,Total Weight,Number of boxes,Box 1,Box 2,Box 3,Box 4,Box 5,Box 6,Box 7,Box 8,Box 9,Box 10,TOTAL,Box 1 information,,,,,Box 2 information,,,,,Box 3 information,,,,,Box 4 information,,,,,Box 5 information,,,,,Box 6 information,,,,,Box 7 information,,,,,Box 8 information,,,,,Box 9 information,,,,,Box 10 information,,,,,Bullet Points,,,,,,Supporting Documents,,,,,,,,Images,,,,,,,,,,,,,,,,,,,,Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
70276232gxuu,76232gxuu,94035000,Naia,Naia Wide Chest of 6 Drawers (3+3) in Concrete and White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,Grey and White High Gloss,5713035053921,153.8,70.1,50,58,2,28,29,,,,,,,,,0.112,5713035053907,76.3,49.1,15.4,0.058,5713035053914,159.6,51.1,6.6,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Stylish and contemporary,Easy self assembly ,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/vk79zo4s73976c9o9nhca/70276232gxuu_ai.pdf?rlkey=fp5pu955cce7d6p5e6fn889r0&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/7zfyz88uqd06j7ivdahkg/70276232gxuu_1.jpg?rlkey=9vafwzh3hfj7ben1y1m8bc4nk&dl=0,https://www.dropbox.com/scl/fi/bky8jvuazx1g84jqxya1j/70276232gxuu_2.jpg?rlkey=iz522s4l00zgy6za8sr7ksjg9&dl=0,https://www.dropbox.com/scl/fi/fbhbcs4hde09bw391r44c/70276232gxuu_3.jpg?rlkey=87b7878pe3rfaahu5l5sylbpk&dl=0,https://www.dropbox.com/scl/fi/p131i6t520redeu60c4g8/70276232gxuu_4.jpg?rlkey=nh2404528s660bqlpi3dc1tlr&dl=0,https://www.dropbox.com/scl/fi/x1rrfbkyfizl7nwhtqwlk/70276232gxuu_5.jpg?rlkey=8yy1pohqoqjvz3rfgl0bv4rgz&dl=0,https://www.dropbox.com/scl/fi/j6hyeokmz8o7q2zjug0an/70276232gxuu_6.jpg?rlkey=xi4judh1kgga6ppatrcjbqvzt&dl=0,https://www.dropbox.com/scl/fi/5autivofya71uwc7pp7p0/70276232gxuu_7.jpg?rlkey=4d46kh9bt3z5g3yfl0jhe3kxn&dl=0,https://www.dropbox.com/scl/fi/epitaiptxr4iq58arku6v/70276232gxuu_8.jpg?rlkey=4tni3wyaoqhmdxo7x5lkif61o&dl=0,https://www.dropbox.com/scl/fi/lb6m0dkf9x1iupqpf45jz/70276232gxuu_9.jpg?rlkey=d3r6p0zk73iisthbtrkxawswk&dl=0,https://www.dropbox.com/scl/fi/b8dyybysvu6dnhy1via3w/70276232gxuu_10.jpg?rlkey=o1cixle4kqlhcbwrcjxmyrmbu&dl=0,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
70276232hl,76232hl,94035000,Naia,Naia Wide Chest of 6 Drawers (3+3) in Jackson Hickory Oak,"The Naia bedroom collection offers a tribute to timeless furniture design with a modern edge. With storage available in a good range of configurations, Naia can easily fit into your interior and provide the space you need for clothes and more. Also featuring a selection of sideboards for the lounge & dining room you can continue the same style throughout the home. Available in your choice of four different colourways: Oak, bold matte black, high-impact glossy white or concrete with white high gloss fronts to create the space you desire!",Oak,5713035073837,153.8,70.1,50,56,2,28.4,29.2,,,,,,,,,0.112,5713035073813,76.3,49.1,15.4,0.058,5713035073820,159.6,51.1,6.6,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Easy gliding drawer runners,Stylish and contemporary,Made in Denmark,,https://dl.dropboxusercontent.com/scl/fi/11gr39f3j8z50wn0m16vm/70276232hl_ai.pdf?rlkey=0vaqex7owoqmktbysmxjhn78g&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/xjwnhlblxzk53vsljcfa2/70276232hl_1.jpg?rlkey=s0ffq215emgxsx1hcdijtplba&dl=0,https://www.dropbox.com/scl/fi/cisqu2405b794q9e9bg36/70276232hl_2.jpg?rlkey=v7vdhf753z5wnywuwr0a9a5xt&dl=0,https://www.dropbox.com/scl/fi/gqbjz0qpiq05sgjs54h1b/70276232hl_3.jpg?rlkey=mznmi459vff9n41d2zcb3qcz9&dl=0,https://www.dropbox.com/scl/fi/hlrk3ue94vs1r6o1f5163/70276232hl_4.jpg?rlkey=s0sug938a533yvgc55e7pyg21&dl=0,https://www.dropbox.com/scl/fi/a786zrdgklhottqywea21/70276232hl_5.jpg?rlkey=i5nmlhxh49xd5qrnu320zn5ic&dl=0,https://www.dropbox.com/scl/fi/dzf2sby1w95wfd5i4brup/70276232hl_6.jpg?rlkey=q0pwkqu567wblgwvhw021u251&dl=0,https://www.dropbox.com/scl/fi/v0mlf7h6ir8xttldpp6bo/70276232hl_7.jpg?rlkey=4l66mh5le7cnz8ke6l3jy7nyq&dl=0,https://www.dropbox.com/scl/fi/eo349cwt7qex4gao5nx1a/70276232hl_8.jpg?rlkey=e6pmgca5uxvac19m01g5uwslo&dl=0,https://www.dropbox.com/scl/fi/fcmsmsliv6clvr49iqgft/70276232hl_9.jpg?rlkey=awpgvv6bxttpjmsh9adqg6qgw&dl=0,https://www.dropbox.com/scl/fi/dym6vc9vqux2jz1zm1c64/70276232hl_10.jpg?rlkey=1gb9uli9i0jg6z3ieoipbc7gs&dl=0,https://www.dropbox.com/scl/fi/kmus4l9kslcrthxmmw1po/70276232hl_11.jpg?rlkey=n23bk9kmzlu02e6ewodsjl09u&dl=0,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
70276232uu,76232uu,94035000,Naia,Naia Wide Chest of 6 Drawers (3+3) in White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,White High Gloss,5060653081998,153.8,70.1,50,57.6,2,28.4,29.2,,,,,,,,,0.114,5706887996805,76.3,49.1,15.6,0.058,5706887996812,159.6,51.1,6.8,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High gloss fronts,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Easy self assembly ,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/jebxzug7r2bws3duoauzx/70276232uu_ai.pdf?rlkey=vvtr70zhexbfyectgl1dpgj8j&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/wwptp264a92c7p4v65lcz/70276232uu_1.jpg?rlkey=pfftkjphhivpc011ba517m57r&dl=0,https://www.dropbox.com/scl/fi/m4vffkar4v43otnmisb04/70276232uu_2.jpg?rlkey=cb4wv0sjqhzz6zczp9dt5ksp2&dl=0,https://www.dropbox.com/scl/fi/p9lr8aaa0xta2v1e1zu18/70276232uu_3.jpg?rlkey=3ohcf7d9fkl5onlqoa4s23054&dl=0,https://www.dropbox.com/scl/fi/pnbetd3wh0tup1nlr4sir/70276232uu_4.jpg?rlkey=cm613s9fn92o8iozfw7bfk67b&dl=0,https://www.dropbox.com/scl/fi/bzgzqlofwdq5k3o7yxsw4/70276232uu_5.jpg?rlkey=5j35d9j7woxbacyiy21a04c5y&dl=0,https://www.dropbox.com/scl/fi/s3gqhw474q3jlcorax8rm/70276232uu_6.jpg?rlkey=kopocofoqzuhwscn9poxwi36j&dl=0,https://www.dropbox.com/scl/fi/m4f8etjn9mkp9fehhtpjo/70276232uu_7.jpg?rlkey=61p2x3oyxs6a05wnmw5wt2y96&dl=0,https://www.dropbox.com/scl/fi/9v3jx2l4noaxvazndc0g4/70276232uu_8.jpg?rlkey=i43m7ejohywi9l2o8xrbzx6yr&dl=0,https://www.dropbox.com/scl/fi/kqmqi3yosh8yuxlf75zme/70276232uu_9.jpg?rlkey=t537iwjaxwiqudzpczhi4todt&dl=0,https://www.dropbox.com/scl/fi/9ims3riwr5uxfz2g1l185/70276232uu_10.jpg?rlkey=y4e3iu5qtcd76hxon5yymi2ga&dl=0,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
70276233gxuu,76233gxuu,94035000,Naia,Naia Narrow Chest of 5 Drawers in Concrete and White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,Grey and White High Gloss,5713035053938,40.4,111.3,50,29,1,29,,,,,,,,,,0.064,5713035053938,114.7,49.1,11.4,0.064,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Stylish and contemporary,Easy self assembly ,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/441xhzbfo6m71fgecruti/70276233gxuu_ai.pdf?rlkey=tpq9xktpo23lfrmgfif81lq8g&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/isluety57hrv5tfxj7vqe/70276233gxuu_1.jpg?rlkey=exckrigp6l01rycpz1apfydek&dl=0,https://www.dropbox.com/scl/fi/30vnz7bfdrctvds0axojy/70276233gxuu_2.jpg?rlkey=dev6vh3jm9la29ti0k6fhpc1m&dl=0,https://www.dropbox.com/scl/fi/qjqwbta9vxs2gogs91x7p/70276233gxuu_3.jpg?rlkey=khnod2s90teerbmmznlkw91l4&dl=0,https://www.dropbox.com/scl/fi/j72f9eccpenvtvxftcxnn/70276233gxuu_4.jpg?rlkey=x5cb8n5dkiltsei6xfy365anb&dl=0,https://www.dropbox.com/scl/fi/9xd1tfkcuvw260y4kww11/70276233gxuu_5.jpg?rlkey=g48946d1aknv6siesfkhi78g0&dl=0,https://www.dropbox.com/scl/fi/vmmttek2i90kwl7ytkhop/70276233gxuu_6.jpg?rlkey=n0eveft9rlr4483pvi72fjr86&dl=0,https://www.dropbox.com/scl/fi/pwpmg6e3e2q6rqkcgyd7s/70276233gxuu_7.jpg?rlkey=v8kw7pw0mflzl3z02no47y837&dl=0,https://www.dropbox.com/scl/fi/wx4adsj4nen6o7qdz1q2l/70276233gxuu_8.jpg?rlkey=lhton2p6um7shew9icumnwjfy&dl=0,https://www.dropbox.com/scl/fi/pl2u9wlp9g3uh4pnpny5l/70276233gxuu_9.jpg?rlkey=tdpg5l8ayqu563bujs2zu43nd&dl=0,https://www.dropbox.com/scl/fi/yk02mets59r6xas7b7ufl/70276233gxuu_10.jpg?rlkey=5jzsrhru1mlouvk6e1pagyolh&dl=0,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
70276233hl,76233hl,94035000,Naia,Naia Narrow Chest of 5 Drawers in Jackson Hickory Oak,"The Naia bedroom collection offers a tribute to timeless furniture design with a modern edge. With storage available in a good range of configurations, Naia can easily fit into your interior and provide the space you need for clothes and more. Also featuring a selection of sideboards for the lounge & dining room you can continue the same style throughout the home. Available in your choice of four different colourways: Oak, bold matte black, high-impact glossy white or concrete with white high gloss fronts to create the space you desire!",Oak,5713035073844,40.4,11.2,50,27.9,1,28.7,,,,,,,,,,0.060,5713035073844,114.7,49.1,11.4,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Stylish and contemporary,Easy self assembly,Made in Denmark,,https://dl.dropboxusercontent.com/scl/fi/y03j6yt35lon2inh1gkk0/70276233hl_ai.pdf?rlkey=udidiw2qimrshyw13ej4zqofz&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/66fr966nsek74uj6d1893/70276233hl_1.jpg?rlkey=4wszuln3a1wn88huzd7aje72s&dl=0,https://www.dropbox.com/scl/fi/cbc8npowj8434v1wfn58s/70276233hl_2.jpg?rlkey=c5n0p2w2393ltoieljgyob3py&dl=0,https://www.dropbox.com/scl/fi/7ivvx38cdlb4ngbmmi7d0/70276233hl_3.jpg?rlkey=e7vn1yjcgxymgy6pvv6lor1x7&dl=0,https://www.dropbox.com/scl/fi/qs936z6gqzewfw7n3ihuw/70276233hl_4.jpg?rlkey=zmvf0ffp8ne2czd2gf1aw04ay&dl=0,https://www.dropbox.com/scl/fi/r0ajsof1eg52a494heatc/70276233hl_5.jpg?rlkey=25eqg5wm3bi7qgyi4ymgif5cj&dl=0,https://www.dropbox.com/scl/fi/haucay6ra29bgqq48gcf4/70276233hl_6.jpg?rlkey=t618daeqe75uhl5qgc5uh81ki&dl=0,https://www.dropbox.com/scl/fi/hb3v6y72zl3vvc7t31blp/70276233hl_7.jpg?rlkey=g52qh22ok6qh1l0qudtag3wl6&dl=0,https://www.dropbox.com/scl/fi/554inutzovf04ov7kn4p9/70276233hl_8.jpg?rlkey=58mzi2f3yvb7e2j8odouyuivm&dl=0,https://www.dropbox.com/scl/fi/gwcliv94yxvzrteuv093l/70276233hl_9.jpg?rlkey=6cwz2wcahgqq0kcdy7pji2x7c&dl=0,https://www.dropbox.com/scl/fi/y6e772b2jxplbxybtaixp/70276233hl_10.jpg?rlkey=hxnotoct7ctigh91h0jz6qw0z&dl=0,https://www.dropbox.com/scl/fi/kfrjy96n68tlfavbocd3w/70276233hl_11.jpg?rlkey=meqwe8rq6y8oj7mr1g5vsoaqd&dl=0,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,
70276233uu,76233uu,94035000,Naia,Naia Narrow Chest of 5 Drawers in White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,White High Gloss,5060653082001,40.4,111.3,50,28.7,1,28.7,,,,,,,,,,0.064,5706887996836,114.7,49.1,11.4,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High gloss fronts,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Adjustable hinges on all doors,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/0rkaz2xu409o9ozp5n5ek/70276233uu_ai.pdf?rlkey=x5mwxe4xfxpqzedbfnojs9ftx&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/roj3i8xbeuylk3a96frkx/70276233uu_1.jpg?rlkey=gk60dsm07jaozt9bkoagnidx6&dl=0,https://www.dropbox.com/scl/fi/56sqxrrydep9afukctw81/70276233uu_2.jpg?rlkey=4hnjhmyl1ddr682002xt98qr3&dl=0,https://www.dropbox.com/scl/fi/ruoqawfebc1sa8gepsdjw/70276233uu_3.jpg?rlkey=5razvddzkhqros3i0410vh40y&dl=0,https://www.dropbox.com/scl/fi/1ksw5a0l728fktby27cqb/70276233uu_4.jpg?rlkey=gij48svwlstxhu13ex4c07u9m&dl=0,https://www.dropbox.com/scl/fi/ssdy69mdltw7hmn4gz7ui/70276233uu_5.jpg?rlkey=m8k3lh3bodo51wko1ufz7lpp4&dl=0,https://www.dropbox.com/scl/fi/dkt30ey94wa19b30v14nb/70276233uu_6.jpg?rlkey=nm8wya010wcmay3qcdwywdxwc&dl=0,https://www.dropbox.com/scl/fi/786upkirb6kdwfwhk8j0p/70276233uu_7.jpg?rlkey=1od1msij71skvpsu5r9ll5755&dl=0,https://www.dropbox.com/scl/fi/u9s1bqz4atj5bvg1wk31p/70276233uu_8.jpg?rlkey=wa1fvc0wh6elispqax5c42xme&dl=0,https://www.dropbox.com/scl/fi/0m1n8z0z21zcbi92vwkuo/70276233uu_9.jpg?rlkey=lp1fndla7agxtij8klrnnee6w&dl=0,https://www.dropbox.com/scl/fi/lsd2tdob1p0h1hx78tm80/70276233uu_10.jpg?rlkey=e98n016bodt31v38s2colgyaq&dl=0,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
70276234uu,76234uu,94035000,Naia,Naia Sideboard 1 Drawer 2 Doors in White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,White High Gloss,5060653082018,80.4,100.4,40,33.7,1,33.7,,,,,,,,,,0.084,5706887996843,160,41.1,12.7,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High gloss fronts,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Adjustable hinges on all doors,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/3gl7rvsr085kc8c8r2fvx/70276234uu_ai.pdf?rlkey=3uogrl46k3np7rfe4yj57v5ox&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/9nnaughp4p9v7xlm3hn2o/70276234uu_1.jpg?rlkey=1dqfp79lusodj5kuvyow49gab&dl=0,https://www.dropbox.com/scl/fi/jom91uxbptx0bfl8omlx3/70276234uu_2.jpg?rlkey=58uv7fohiook1fh0uqmni0g54&dl=0,https://www.dropbox.com/scl/fi/1dszepu41elmnisudvv3r/70276234uu_3.jpg?rlkey=1eog6usm28mvvolppzd040mg5&dl=0,https://www.dropbox.com/scl/fi/mctqekbl2qivpmi4u4wk7/70276234uu_4.jpg?rlkey=dygwxw6efzw0cugxne0umu8v9&dl=0,https://www.dropbox.com/scl/fi/vcbnppd52eb48y8vyxj27/70276234uu_5.jpg?rlkey=vceidw3rzi46q3d9txq2920d4&dl=0,https://www.dropbox.com/scl/fi/yg2557d83e7b6wueei4f2/70276234uu_6.jpg?rlkey=5aezyo0chb8snq9c3rduave9t&dl=0,https://www.dropbox.com/scl/fi/3xntik9v0h9myjddhn0yk/70276234uu_7.jpg?rlkey=v6rd6jz9kx7lzprbbnhj4uoke&dl=0,https://www.dropbox.com/scl/fi/i8kh3zcosxk00cwsqo7fe/70276234uu_8.jpg?rlkey=6b99ujjc2pfwmjvy7bnibm1pb&dl=0,https://www.dropbox.com/scl/fi/j7gs1nuiujdu3oppg03u2/70276234uu_9.jpg?rlkey=m0uo3v45qxvhoyk6gj5d5xys5&dl=0,https://www.dropbox.com/scl/fi/jz6wa3chbgux99az0pix3/70276234uu_10.jpg?rlkey=41qml8rhapbh0qz1vhvayc5ia&dl=0,https://www.dropbox.com/scl/fi/qtdp963cp3cc238m6swmc/70276234uu_11.jpg?rlkey=axpuckz01y8dufvvpw2h6tjd0&dl=0,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
70276235gxuu,76235gxuu,94035000,Naia,Naia Chest of 3 Drawers in Concrete and White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,Grey and White High Gloss,5713035053952,77,70.1,50,27,1,27,,,,,,,,,,0.058,5713035053952,82.8,51.1,13.8,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Stylish and contemporary,Easy self assembly ,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/tccg5xkyhlcknldfhaf9p/70276235gxuu_ai.pdf?rlkey=vy7vz1gm09q658gkzqchty7rr&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/f5vis0b2e391aiz5nzfeu/70276235gxuu_1.jpg?rlkey=1lnxpx7e2vjrjgldf0oeoklxe&dl=0,https://www.dropbox.com/scl/fi/06rgh6h9w4i63xbk0rwyh/70276235gxuu_2.jpg?rlkey=l84j03ceja7eg8yz5zlfsuc5r&dl=0,https://www.dropbox.com/scl/fi/xfzw3q6anjuzp4mit48bq/70276235gxuu_3.jpg?rlkey=fwzg9uegdssjp4t7et1xnvec5&dl=0,https://www.dropbox.com/scl/fi/swupyci6jhj856qzvcx3c/70276235gxuu_4.jpg?rlkey=7hz3h92fuue1p8725v714p6qv&dl=0,https://www.dropbox.com/scl/fi/3smjfqoo56hvlrvw4s3rf/70276235gxuu_5.jpg?rlkey=2j09pi92hl7chdazcpxzijbmn&dl=0,https://www.dropbox.com/scl/fi/6k6ydqvkavju54987kxj8/70276235gxuu_6.jpg?rlkey=whxyc7k047ufm17q6wmsrgxj6&dl=0,https://www.dropbox.com/scl/fi/1hg4ksh0c0z306lzr2plk/70276235gxuu_7.jpg?rlkey=xbha9qnm8hpotqxbk0wwtq9xe&dl=0,https://www.dropbox.com/scl/fi/40dqorgz9adxffmqygx3m/70276235gxuu_8.jpg?rlkey=138zfbdwobsymcmcbxsr2phvk&dl=0,https://www.dropbox.com/scl/fi/ogvniddgvbxofz281pq10/70276235gxuu_9.jpg?rlkey=foda4cxc3xfr26q0h2uw1ve92&dl=0,https://www.dropbox.com/scl/fi/7siwgc3e2yjth889vcjd3/70276235gxuu_10.jpg?rlkey=ugsj6f3xjqju529pcgw2ivuc3&dl=0,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
70276235hl,76235hl,94035000,Naia,Naia Chest of 3 Drawers in Jackson Hickory Oak,"The Naia bedroom collection offers a tribute to timeless furniture design with a modern edge. With storage available in a good range of configurations, Naia can easily fit into your interior and provide the space you need for clothes and more. Also featuring a selection of sideboards for the lounge & dining room you can continue the same style throughout the home. Available in your choice of four different colourways: Oak, bold matte black, high-impact glossy white or concrete with white high gloss fronts to create the space you desire!",Oak,5713035073868,77,70.1,50,26.3,1,27.1,,,,,,,,,,0.060,5713035073868,82.8,51.1,13.8,0.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Stylish and contemporary,Easy self assembly,Made in Denmark,,https://dl.dropboxusercontent.com/scl/fi/bt6den4cxmhwqvsa7bstw/70276235hl_ai.pdf?rlkey=n7y6274ijrfurx3o40gh407s8&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/1ha7qyu51e2qo0qm3uco7/70276235hl_1.jpg?rlkey=3yokozkvcbyztvtdnr0irxl91&dl=0,https://www.dropbox.com/scl/fi/6ogeon0rdp12n3bh2szmt/70276235hl_2.jpg?rlkey=24r6znq4simbn6s8sl46yqb1y&dl=0,https://www.dropbox.com/scl/fi/t8ean5uyz0vy7ffq1pbp9/70276235hl_3.jpg?rlkey=kududmr1d059xdhoq4g1g6vyu&dl=0,https://www.dropbox.com/scl/fi/um0m9u9lyt0ohj0ol8z2t/70276235hl_4.jpg?rlkey=4pg21e9xg7kg4ptm9tf3uhktg&dl=0,https://www.dropbox.com/scl/fi/ezykt1qfi69t0bqp58oto/70276235hl_5.jpg?rlkey=dj3k0f7yp0a90yh4kvlqudje3&dl=0,https://www.dropbox.com/scl/fi/ihj1hplvxi53l40ey8939/70276235hl_6.jpg?rlkey=micglv4wik4ofmpyvf44m3zkh&dl=0,https://www.dropbox.com/scl/fi/54qrfea92trr1f1rpqjno/70276235hl_7.jpg?rlkey=8ookv53tdkuw1hy61f06d7h7g&dl=0,https://www.dropbox.com/scl/fi/d7c0jm6ocvc8qh5sz8zxn/70276235hl_8.jpg?rlkey=f4a4tquklkba4oa57urijn7lj&dl=0,https://www.dropbox.com/scl/fi/3s5heb982jnl2hljxp8yj/70276235hl_9.jpg?rlkey=ttz4rhbhpqxqs09v8tec91lbr&dl=0,https://www.dropbox.com/scl/fi/3lsf5vicfaktm4qmr7430/70276235hl_10.jpg?rlkey=ksbraf9jvlhzi6zug5pammswy&dl=0,https://www.dropbox.com/scl/fi/oytnu66ocymelxkxab97q/70276235hl_11.jpg?rlkey=k1xa5rk9ocwxqydwmzaj2dppq&dl=0,https://www.dropbox.com/scl/fi/5yzz8jebtoy3henm4bs7s/70276235hl_12.jpg?rlkey=ibedyukbybc14czysi42r7aow&dl=0,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,,,,
70276235uu,76235uu,94035000,Naia,Naia Chest of 3 Drawers in White High Gloss,The Naia collection offers a tribute to timeless furniture design with a modern edge.,White High Gloss,5060653082025,77,70.1,50,27.1,1,27.1,,,,,,,,,,0.060,5706887996850,82.8,51.1,14.1,0.060,, , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High gloss fronts,"High quality laminated board (resistant to damage and scratches, moisture and high temperature)",Easy gliding drawer runners,Easy self assembly ,Made from PEFC Certified sustainable wood,Made in Denmark,https://dl.dropboxusercontent.com/scl/fi/vvz0kty3bmpqr64djxlob/70276235uu_ai.pdf?rlkey=dhiar305qk4kkbyp9imlzn9o4&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/onnl7rxy6pi5kmlkduwtr/70276235uu_1.jpg?rlkey=26a06q3rilgs86l07ssfsw743&dl=0,https://www.dropbox.com/scl/fi/a6fprwuscozhqmedh77q1/70276235uu_2.jpg?rlkey=1s99w05o6behmv3n4a0bl2f58&dl=0,https://www.dropbox.com/scl/fi/6agvnzrqgnm6posxnqufe/70276235uu_3.jpg?rlkey=oo8jmyyj2zryob7n79yoan3kc&dl=0,https://www.dropbox.com/scl/fi/ld940rh7pzx3pwgfzhokf/70276235uu_4.jpg?rlkey=0wu8tm0ffazsj6f6luoa3arll&dl=0,https://www.dropbox.com/scl/fi/gre74mtu4bnbhbf095onv/70276235uu_5.jpg?rlkey=8pui1qza3f1nj3zm7hu829thv&dl=0,https://www.dropbox.com/scl/fi/5ztnzbbwr9fy0yxmmbuot/70276235uu_6.jpg?rlkey=0hmkr3ji8e37fnm2hguqtb8id&dl=0,https://www.dropbox.com/scl/fi/aqedda4ookyt5dx1nyt0u/70276235uu_7.jpg?rlkey=avbh7supkxsvnfxvvmumay8s0&dl=0,https://www.dropbox.com/scl/fi/ug4mkucplr8caj7469d6i/70276235uu_8.jpg?rlkey=yo0ffyb4x2ostietx9v338np6&dl=0,https://www.dropbox.com/scl/fi/twux6p6lyzohchb3ix7ly/70276235uu_9.jpg?rlkey=78ztymyl7nvo52cozpdv265qt&dl=0,https://www.dropbox.com/scl/fi/lj3i35rt2cprdqn4388ol/70276235uu_10.jpg?rlkey=rm0r66kbv1xiuudl4bajwj2nq&dl=0,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
